"","Country","Total"
"198","Saint Vincent and the Grenadines",0.193957
"199","Suriname",2.607637
"200","Swaziland",1.060032
"201","Sweden",36.515101
"202","Switzerland",34.240967
"203","Syria",26.159826
"204","Taiwan",264.267187
"205","Tajikistan",9.434043
"206","Thailand",277.368424
"207","Timor-Leste",0.718671
"208","Togo",2.243693
"209","Tonga",0.17015
"210","Trinidad and Tobago",35.756215
"211","Tunisia",27.578279
"212","Turkey",413.433085
"213","Turkmenistan",72.035944
"214","Turks and Caicos Islands",0.309705
"215","Tuvalu",0.007734
"216","Uganda",5.506982
"217","Ukraine",206.941159
"218","United Arab Emirates",199.084442
"219","United Kingdom",326.263199
"220","Tanzania",12.29418
"221","United States",4715.691109
"222","Uruguay",6.29665
"223","Uzbekistan",118.239699
"224","Vanuatu",0.17015
"225","Venezuela",76.467466
"226","Viet Nam",328.899732
"227","Wallis and Futuna Islands",0.027069
"228","Yemen",12.140133
"229","Zambia",7.280663
"230","Zimbabwe",10.607897
